token_uid,category_code,category_name,index,regkey_raw,title,definition,examples,wire_token,definition_id,wire_token_uniqueness,category+index_uniqueness
SIGSAGR001,AGR,Agreement / Affirm,001,SP:AGR:001,An acknowledgment of truth or correctness in response to ...,An acknowledgment of truth or correctness in response to a statement.,yes|correct|indeed,agr001,1,TRUE,TRUE
SIGSAGR002,AGR,Agreement / Affirm,002,SP:AGR:002,,A verbal signal of permission or acceptance.,okay|alright|fine,agr002,2,TRUE,TRUE
SIGSAGR003,AGR,Agreement / Affirm,003,SP:AGR:003,,A ceremonial or religious expression of communal agreement.,amen|so be it|truly,agr003,3,TRUE,TRUE
SIGSAGR004,AGR,Agreement / Affirm,004,SP:AGR:004,,An enthusiastic confirmation showing strong alignment.,absolutely|definitely|for sure,agr004,4,TRUE,TRUE
SIGSAGR005,AGR,Agreement / Affirm,005,SP:AGR:005,,Polite or passive agreement given without objection.,sure|if you say so|fair enough,agr005,5,TRUE,TRUE
SIGSAGR006,AGR,Agreement / Affirm,006,SP:AGR:006,,Acceptance of a proposed idea or plan.,sounds good|works for me|I agree,agr006,6,TRUE,TRUE
SIGSAGR007,AGR,Agreement / Affirm,007,SP:AGR:007,,An implicit agreement expressed through non-resistance.,fine|whatever|as you wish,agr007,7,TRUE,TRUE
SIGSAGR008,AGR,Agreement / Affirm,008,SP:AGR:008,,Supportive affirmation of a prior statement.,that’s right|exactly|you got it,agr008,8,TRUE,TRUE
SIGSAGR009,AGR,Agreement / Affirm,009,SP:AGR:009,,A formal statement of approval or authorization.,approved|endorsed|sanctioned,agr009,9,TRUE,TRUE
SIGSAGR00A,AGR,Agreement / Affirm,00A,SP:AGR:00A,,Colloquial or slang expression of agreement.,yup|uh-huh|word,agr00a,10,TRUE,TRUE
SIGSAGR00B,AGR,Agreement / Affirm,00B,SP:AGR:00B,An utterance of mutual understanding or recognition of a ...,An utterance of mutual understanding or recognition of a shared point.,we’re on the same page|makes sense|understood,agr00b,11,TRUE,TRUE
SIGSAGR00C,AGR,Agreement / Affirm,00C,SP:AGR:00C,,Spoken alignment with a group's consensus or decision.,we all agree|unanimous|consensus,agr00c,12,TRUE,TRUE
SIGSAGR00D,AGR,Agreement / Affirm,00D,SP:AGR:00D,,Repetition of another’s words to affirm alignment.,echo|same|likewise,agr00d,13,TRUE,TRUE
SIGSAGR00E,AGR,Agreement / Affirm,00E,SP:AGR:00E,,A nonverbal or minimal response signaling affirmation.,nod|mhmm|gesture,agr00e,14,TRUE,TRUE
SIGSAGR00F,AGR,Agreement / Affirm,00F,SP:AGR:00F,,A legal or official confirmation of truth or commitment.,affirm|verify|attest,agr00f,15,TRUE,TRUE
SIGSAGR00G,AGR,Agreement / Affirm,00G,SP:AGR:00G,,Sincere validation of someone else's statement or presence.,valid|true|respected,agr00g,16,TRUE,TRUE
